sourceOccurrenceId	sourceTaxonId	sourceTaxonName	sourceBodyPartId	sourceBodyPartName	sourceLifeStageId	sourceLifeStageName	sourcePhysiologicalStateId	sourcePhysiologicalStateName	interactionTypeId	interactionTypeName	targetOccurrenceId	targetTaxonId	targetTaxonName	targetBodyPartId	targetBodyPartName	targetLifeStageId	targetLifeStageName	targetPhysiologicalStateId	targetPhysiologicalStateName	habitatId	habitatName	localityId	localityName	decimalLatitude	decimalLongitude	depth	altitude	observationDateTime	referenceDoi	referenceUrl	referenceCitation	argumentTypeId
		Anthidium punctatum							http://purl.obolibrary.org/obo/RO_0002470	eats			Euphorbia cyparissias				https://www.inaturalist.org/observations/32168653	refute												https://www.inaturalist.org/observations/32168653		https://en.wiktionary.org/wiki/refute
		Stenurella melanura							http://purl.obolibrary.org/obo/RO_0002470	eats			Leucanthemum vulgare				https://www.inaturalist.org/observations/32176780	refute												https://www.inaturalist.org/observations/32176780		https://en.wiktionary.org/wiki/refute
		Stenurella melanura							http://purl.obolibrary.org/obo/RO_0002470	eats			Leucanthemum vulgare				https://www.inaturalist.org/observations/32176782	refute												https://www.inaturalist.org/observations/32176782		https://en.wiktionary.org/wiki/refute
		Anastrangalia sanguinolenta							http://purl.obolibrary.org/obo/RO_0002470	eats			Leucanthemum vulgare				https://www.inaturalist.org/observations/32176783	refute												https://www.inaturalist.org/observations/32176783		https://en.wiktionary.org/wiki/refute
		Anastrangalia sanguinolenta							http://purl.obolibrary.org/obo/RO_0002470	eats			Leucanthemum vulgare				https://www.inaturalist.org/observations/32176797	refute												https://www.inaturalist.org/observations/32176797		https://en.wiktionary.org/wiki/refute
		Phytoecia caerulescens							http://purl.obolibrary.org/obo/RO_0002470	eats			Cynoglossum				https://www.inaturalist.org/observations/32187153	refute												https://www.inaturalist.org/observations/32187153		https://en.wiktionary.org/wiki/refute
		Stenurella bifasciata							http://purl.obolibrary.org/obo/RO_0002470	eats			Leucanthemum vulgare				https://www.inaturalist.org/observations/32187176	refute												https://www.inaturalist.org/observations/32187176		https://en.wiktionary.org/wiki/refute
		Andrena pandellei							http://purl.obolibrary.org/obo/RO_0002470	eats			Campanula				https://www.inaturalist.org/observations/32190324	refute												https://www.inaturalist.org/observations/32190324		https://en.wiktionary.org/wiki/refute
		Phytoecia caerulescens							http://purl.obolibrary.org/obo/RO_0002470	eats			Echium vulgare				https://www.inaturalist.org/observations/32190325	refute												https://www.inaturalist.org/observations/32190325		https://en.wiktionary.org/wiki/refute
		Oberea erythrocephala bicolor							http://purl.obolibrary.org/obo/RO_0002470	eats			Euphorbia cyparissias				https://www.inaturalist.org/observations/32487458	refute												https://www.inaturalist.org/observations/32487458		https://en.wiktionary.org/wiki/refute
		Bombus humilis							http://purl.obolibrary.org/obo/RO_0002470	eats			Echium vulgare				https://www.inaturalist.org/observations/32487464	refute												https://www.inaturalist.org/observations/32487464		https://en.wiktionary.org/wiki/refute
		Oberea erythrocephala bicolor							http://purl.obolibrary.org/obo/RO_0002470	eats			Euphorbia cyparissias				https://www.inaturalist.org/observations/32487465	refute												https://www.inaturalist.org/observations/32487465		https://en.wiktionary.org/wiki/refute
		Bombus ruderarius							http://purl.obolibrary.org/obo/RO_0002470	eats			Carduus nutans				https://www.inaturalist.org/observations/32487477	refute												https://www.inaturalist.org/observations/32487477		https://en.wiktionary.org/wiki/refute
		Phytoecia caerulescens							http://purl.obolibrary.org/obo/RO_0002470	eats			Echium vulgare				https://www.inaturalist.org/observations/32487489	refute												https://www.inaturalist.org/observations/32487489		https://en.wiktionary.org/wiki/refute
		Phytoecia caerulescens							http://purl.obolibrary.org/obo/RO_0002470	eats			Echium vulgare				https://www.inaturalist.org/observations/32537424	refute												https://www.inaturalist.org/observations/32537424		https://en.wiktionary.org/wiki/refute
		Bombus humilis							http://purl.obolibrary.org/obo/RO_0002470	eats			Carduus nutans				https://www.inaturalist.org/observations/32609970	refute												https://www.inaturalist.org/observations/32609970		https://en.wiktionary.org/wiki/refute
		Phytoecia caerulescens							http://purl.obolibrary.org/obo/RO_0002470	eats			Echium vulgare				https://www.inaturalist.org/observations/32615203	refute												https://www.inaturalist.org/observations/32615203		https://en.wiktionary.org/wiki/refute
		Aglais io							http://purl.obolibrary.org/obo/RO_0002470	eats			Succisa pratensis				https://www.inaturalist.org/observations/33026466	refute												https://www.inaturalist.org/observations/33026466		https://en.wiktionary.org/wiki/refute
		Polygonia c-album							http://purl.obolibrary.org/obo/RO_0002470	eats			Succisa pratensis				https://www.inaturalist.org/observations/33026503	refute												https://www.inaturalist.org/observations/33026503		https://en.wiktionary.org/wiki/refute
		Parexochomus nigromaculatus							http://purl.obolibrary.org/obo/RO_0002470	eats			Ulex gallii				https://www.inaturalist.org/observations/33076533	refute												https://www.inaturalist.org/observations/33076533		https://en.wiktionary.org/wiki/refute
		Parexochomus nigromaculatus							http://purl.obolibrary.org/obo/RO_0002470	eats			Salix				https://www.inaturalist.org/observations/33076538	refute												https://www.inaturalist.org/observations/33076538		https://en.wiktionary.org/wiki/refute
		Polistes dominula							http://purl.obolibrary.org/obo/RO_0002470	eats			Carum verticillatum				https://www.inaturalist.org/observations/33286357	refute												https://www.inaturalist.org/observations/33286357		https://en.wiktionary.org/wiki/refute
		Aglais urticae							http://purl.obolibrary.org/obo/RO_0002470	eats			Succisa pratensis				https://www.inaturalist.org/observations/33451730	refute												https://www.inaturalist.org/observations/33451730		https://en.wiktionary.org/wiki/refute
		Aglais io							http://purl.obolibrary.org/obo/RO_0002470	eats			Succisa pratensis				https://www.inaturalist.org/observations/33451780	refute												https://www.inaturalist.org/observations/33451780		https://en.wiktionary.org/wiki/refute
		Vanessa atalanta							http://purl.obolibrary.org/obo/RO_0002470	eats			Succisa pratensis				https://www.inaturalist.org/observations/33451852	refute												https://www.inaturalist.org/observations/33451852		https://en.wiktionary.org/wiki/refute
		Tropinota hirta							http://purl.obolibrary.org/obo/RO_0002470	eats			Petasites albus				https://www.inaturalist.org/observations/35912952	refute												https://www.inaturalist.org/observations/35912952		https://en.wiktionary.org/wiki/refute
		Neodiprion sertifer							http://purl.obolibrary.org/obo/RO_0002470	eats			Pinus sylvestris				https://www.inaturalist.org/observations/35944633	refute												https://www.inaturalist.org/observations/35944633		https://en.wiktionary.org/wiki/refute
		Harmonia quadripunctata							http://purl.obolibrary.org/obo/RO_0002470	eats			Pinus sylvestris				https://www.inaturalist.org/observations/35944634	refute												https://www.inaturalist.org/observations/35944634		https://en.wiktionary.org/wiki/refute
		Harmonia quadripunctata							http://purl.obolibrary.org/obo/RO_0002470	eats			Pinus nigra				https://www.inaturalist.org/observations/35944934	refute												https://www.inaturalist.org/observations/35944934		https://en.wiktionary.org/wiki/refute
		Stictoleptura rubra							http://purl.obolibrary.org/obo/RO_0002470	eats			Eupatorium cannabinum				https://www.inaturalist.org/observations/36343827	refute												https://www.inaturalist.org/observations/36343827		https://en.wiktionary.org/wiki/refute
		Coccidula scutellata							http://purl.obolibrary.org/obo/RO_0002470	eats			Phragmites australis				https://www.inaturalist.org/observations/36344305	refute												https://www.inaturalist.org/observations/36344305		https://en.wiktionary.org/wiki/refute
		Coccidula							http://purl.obolibrary.org/obo/RO_0002470	eats			Phragmites australis				https://www.inaturalist.org/observations/36344306	refute												https://www.inaturalist.org/observations/36344306		https://en.wiktionary.org/wiki/refute
		Phytoecia caerulescens							http://purl.obolibrary.org/obo/RO_0002470	eats			Echium vulgare				https://www.inaturalist.org/observations/36345193	refute												https://www.inaturalist.org/observations/36345193		https://en.wiktionary.org/wiki/refute
		Calvia quatuordecimguttata							http://purl.obolibrary.org/obo/RO_0002470	eats			Carpinus betulus				https://www.inaturalist.org/observations/36346729	refute												https://www.inaturalist.org/observations/36346729		https://en.wiktionary.org/wiki/refute
		Harmonia quadripunctata							http://purl.obolibrary.org/obo/RO_0002470	eats			Picea abies				https://www.inaturalist.org/observations/36346730	refute												https://www.inaturalist.org/observations/36346730		https://en.wiktionary.org/wiki/refute
		Exochomus quadripustulatus							http://purl.obolibrary.org/obo/RO_0002470	eats			Pinus sylvestris				https://www.inaturalist.org/observations/36346738	refute												https://www.inaturalist.org/observations/36346738		https://en.wiktionary.org/wiki/refute
		Myrrha octodecimguttata							http://purl.obolibrary.org/obo/RO_0002454	hasHost			Pinus sylvestris				https://www.inaturalist.org/observations/36346742	refute												https://www.inaturalist.org/observations/36346742		https://en.wiktionary.org/wiki/refute
		Exochomus quadripustulatus							http://purl.obolibrary.org/obo/RO_0002470	eats			Picea abies				https://www.inaturalist.org/observations/36346743	refute												https://www.inaturalist.org/observations/36346743		https://en.wiktionary.org/wiki/refute
		Aphidecta obliterata							http://purl.obolibrary.org/obo/RO_0002470	eats			Picea abies				https://www.inaturalist.org/observations/36346747	refute												https://www.inaturalist.org/observations/36346747		https://en.wiktionary.org/wiki/refute
		Rhyzobius							http://purl.obolibrary.org/obo/RO_0002470	eats			Picea abies				https://www.inaturalist.org/observations/36346748	refute												https://www.inaturalist.org/observations/36346748		https://en.wiktionary.org/wiki/refute
		Rhyzobius							http://purl.obolibrary.org/obo/RO_0002470	eats			Picea abies				https://www.inaturalist.org/observations/36346749	refute												https://www.inaturalist.org/observations/36346749		https://en.wiktionary.org/wiki/refute
		Rhyzobius							http://purl.obolibrary.org/obo/RO_0002470	eats			Picea abies				https://www.inaturalist.org/observations/36346750	refute												https://www.inaturalist.org/observations/36346750		https://en.wiktionary.org/wiki/refute
		Adalia decempunctata							http://purl.obolibrary.org/obo/RO_0002470	eats			Picea abies				https://www.inaturalist.org/observations/36346751	refute												https://www.inaturalist.org/observations/36346751		https://en.wiktionary.org/wiki/refute
		Rhyzobius							http://purl.obolibrary.org/obo/RO_0002470	eats			Picea abies				https://www.inaturalist.org/observations/36346752	refute												https://www.inaturalist.org/observations/36346752		https://en.wiktionary.org/wiki/refute
		Harmonia axyridis							http://purl.obolibrary.org/obo/RO_0002470	eats			Malus				https://www.inaturalist.org/observations/36346757	refute												https://www.inaturalist.org/observations/36346757		https://en.wiktionary.org/wiki/refute
		Paracorymbia fulva							http://purl.obolibrary.org/obo/RO_0002470	eats			Aethusa cynapium				https://www.inaturalist.org/observations/36348282	refute												https://www.inaturalist.org/observations/36348282		https://en.wiktionary.org/wiki/refute
		Stenurella melanura							http://purl.obolibrary.org/obo/RO_0002470	eats			Aethusa cynapium				https://www.inaturalist.org/observations/36348283	refute												https://www.inaturalist.org/observations/36348283		https://en.wiktionary.org/wiki/refute
		Phytoecia caerulescens							http://purl.obolibrary.org/obo/RO_0002470	eats			Echium vulgare				https://www.inaturalist.org/observations/36348806	refute												https://www.inaturalist.org/observations/36348806		https://en.wiktionary.org/wiki/refute
		Phytoecia caerulescens							http://purl.obolibrary.org/obo/RO_0002470	eats			Echium vulgare				https://www.inaturalist.org/observations/36348807	refute												https://www.inaturalist.org/observations/36348807		https://en.wiktionary.org/wiki/refute
		Phytoecia caerulescens							http://purl.obolibrary.org/obo/RO_0002470	eats			Echium vulgare				https://www.inaturalist.org/observations/36349045	refute												https://www.inaturalist.org/observations/36349045		https://en.wiktionary.org/wiki/refute
		Phytoecia caerulescens							http://purl.obolibrary.org/obo/RO_0002470	eats			Echium vulgare				https://www.inaturalist.org/observations/36349046	refute												https://www.inaturalist.org/observations/36349046		https://en.wiktionary.org/wiki/refute
		Phytoecia caerulescens							http://purl.obolibrary.org/obo/RO_0002470	eats			Echium vulgare				https://www.inaturalist.org/observations/36349047	refute												https://www.inaturalist.org/observations/36349047		https://en.wiktionary.org/wiki/refute
		Phytoecia caerulescens							http://purl.obolibrary.org/obo/RO_0002470	eats			Echium vulgare				https://www.inaturalist.org/observations/36349049	refute												https://www.inaturalist.org/observations/36349049		https://en.wiktionary.org/wiki/refute
		Phytoecia caerulescens							http://purl.obolibrary.org/obo/RO_0002470	eats			Echium vulgare				https://www.inaturalist.org/observations/36349050	refute												https://www.inaturalist.org/observations/36349050		https://en.wiktionary.org/wiki/refute
		Phytoecia caerulescens							http://purl.obolibrary.org/obo/RO_0002470	eats			Echium vulgare				https://www.inaturalist.org/observations/36349051	refute												https://www.inaturalist.org/observations/36349051		https://en.wiktionary.org/wiki/refute
		Phytoecia caerulescens							http://purl.obolibrary.org/obo/RO_0002470	eats			Echium vulgare				https://www.inaturalist.org/observations/36349408	refute												https://www.inaturalist.org/observations/36349408		https://en.wiktionary.org/wiki/refute
		Phytoecia caerulescens							http://purl.obolibrary.org/obo/RO_0002470	eats			Echium vulgare				https://www.inaturalist.org/observations/36349409	refute												https://www.inaturalist.org/observations/36349409		https://en.wiktionary.org/wiki/refute
		Phytoecia caerulescens							http://purl.obolibrary.org/obo/RO_0002470	eats			Echium vulgare				https://www.inaturalist.org/observations/36349410	refute												https://www.inaturalist.org/observations/36349410		https://en.wiktionary.org/wiki/refute
		Phytoecia caerulescens							http://purl.obolibrary.org/obo/RO_0002470	eats			Echium vulgare				https://www.inaturalist.org/observations/36349412	refute												https://www.inaturalist.org/observations/36349412		https://en.wiktionary.org/wiki/refute
		Phytoecia caerulescens							http://purl.obolibrary.org/obo/RO_0002470	eats			Echium vulgare				https://www.inaturalist.org/observations/36349413	refute												https://www.inaturalist.org/observations/36349413		https://en.wiktionary.org/wiki/refute
		Phytoecia caerulescens							http://purl.obolibrary.org/obo/RO_0002470	eats			Echium vulgare				https://www.inaturalist.org/observations/36349640	refute												https://www.inaturalist.org/observations/36349640		https://en.wiktionary.org/wiki/refute
		Phytoecia caerulescens							http://purl.obolibrary.org/obo/RO_0002470	eats			Echium vulgare				https://www.inaturalist.org/observations/36349841	refute												https://www.inaturalist.org/observations/36349841		https://en.wiktionary.org/wiki/refute
		Phytoecia caerulescens							http://purl.obolibrary.org/obo/RO_0002470	eats			Echium vulgare				https://www.inaturalist.org/observations/36349842	refute												https://www.inaturalist.org/observations/36349842		https://en.wiktionary.org/wiki/refute
		Phytoecia caerulescens							http://purl.obolibrary.org/obo/RO_0002470	eats			Echium vulgare				https://www.inaturalist.org/observations/36349843	refute												https://www.inaturalist.org/observations/36349843		https://en.wiktionary.org/wiki/refute
		Phytoecia caerulescens							http://purl.obolibrary.org/obo/RO_0002470	eats			Echium vulgare				https://www.inaturalist.org/observations/36349844	refute												https://www.inaturalist.org/observations/36349844		https://en.wiktionary.org/wiki/refute
		Anthrenus verbasci							http://purl.obolibrary.org/obo/RO_0002470	eats			Leucanthemum vulgare				https://www.inaturalist.org/observations/36698332	refute												https://www.inaturalist.org/observations/36698332		https://en.wiktionary.org/wiki/refute
		Anthrenus verbasci							http://purl.obolibrary.org/obo/RO_0002470	eats			Valeriana officinalis				https://www.inaturalist.org/observations/36698333	refute												https://www.inaturalist.org/observations/36698333		https://en.wiktionary.org/wiki/refute
		Anthrenus verbasci							http://purl.obolibrary.org/obo/RO_0002470	eats			Angelica archangelica				https://www.inaturalist.org/observations/36698336	refute												https://www.inaturalist.org/observations/36698336		https://en.wiktionary.org/wiki/refute
		Anaglyptus mysticus							http://purl.obolibrary.org/obo/RO_0002470	eats			Corylus avellana				https://www.inaturalist.org/observations/36698770	refute												https://www.inaturalist.org/observations/36698770		https://en.wiktionary.org/wiki/refute
		Molorchus minor							http://purl.obolibrary.org/obo/RO_0002470	eats			Apiaceae				https://www.inaturalist.org/observations/36698771	refute												https://www.inaturalist.org/observations/36698771		https://en.wiktionary.org/wiki/refute
		Obrium brunneum							http://purl.obolibrary.org/obo/RO_0002470	eats			Apiaceae				https://www.inaturalist.org/observations/36698773	refute												https://www.inaturalist.org/observations/36698773		https://en.wiktionary.org/wiki/refute
		Stenurella bifasciata							http://purl.obolibrary.org/obo/RO_0002470	eats			Rosa				https://www.inaturalist.org/observations/36698945	refute												https://www.inaturalist.org/observations/36698945		https://en.wiktionary.org/wiki/refute
		Phytoecia caerulescens							http://purl.obolibrary.org/obo/RO_0002470	eats			Echium vulgare				https://www.inaturalist.org/observations/36699122	refute												https://www.inaturalist.org/observations/36699122		https://en.wiktionary.org/wiki/refute
		Phytoecia caerulescens							http://purl.obolibrary.org/obo/RO_0002470	eats			Echium vulgare				https://www.inaturalist.org/observations/36699147	refute												https://www.inaturalist.org/observations/36699147		https://en.wiktionary.org/wiki/refute
		Demetrias imperialis							http://purl.obolibrary.org/obo/RO_0002470	eats			Phragmites australis				https://www.inaturalist.org/observations/36699305	refute												https://www.inaturalist.org/observations/36699305		https://en.wiktionary.org/wiki/refute
		Tytthaspis sedecimpunctata							http://purl.obolibrary.org/obo/RO_0002470	eats			Leucanthemum vulgare				https://www.inaturalist.org/observations/38563038	refute												https://www.inaturalist.org/observations/38563038		https://en.wiktionary.org/wiki/refute
		Exochomus quadripustulatus							http://purl.obolibrary.org/obo/RO_0002470	eats			Pinus sylvestris				https://www.inaturalist.org/observations/38568306	refute												https://www.inaturalist.org/observations/38568306		https://en.wiktionary.org/wiki/refute
		Nuctenea umbratica							http://purl.obolibrary.org/obo/RO_0002470	eats			Platanus				https://www.inaturalist.org/observations/39447170	refute												https://www.inaturalist.org/observations/39447170		https://en.wiktionary.org/wiki/refute
		Forficula auricularia							http://purl.obolibrary.org/obo/RO_0002470	eats			Platanus				https://www.inaturalist.org/observations/39447178	refute												https://www.inaturalist.org/observations/39447178		https://en.wiktionary.org/wiki/refute
		Phytoecia caerulescens							http://purl.obolibrary.org/obo/RO_0002470	eats			Echium vulgare				https://www.inaturalist.org/observations/40778864	refute												https://www.inaturalist.org/observations/40778864		https://en.wiktionary.org/wiki/refute
		Phytoecia caerulescens							http://purl.obolibrary.org/obo/RO_0002470	eats			Echium vulgare				https://www.inaturalist.org/observations/40778867	refute												https://www.inaturalist.org/observations/40778867		https://en.wiktionary.org/wiki/refute
		Phytoecia caerulescens							http://purl.obolibrary.org/obo/RO_0002470	eats			Echium vulgare				https://www.inaturalist.org/observations/40778868	refute												https://www.inaturalist.org/observations/40778868		https://en.wiktionary.org/wiki/refute
		Stenopterus rufus							http://purl.obolibrary.org/obo/RO_0002470	eats			Achillea millefolium				https://www.inaturalist.org/observations/40819301	refute												https://www.inaturalist.org/observations/40819301		https://en.wiktionary.org/wiki/refute
		Stenopterus rufus							http://purl.obolibrary.org/obo/RO_0002470	eats			Achillea millefolium				https://www.inaturalist.org/observations/40819303	refute												https://www.inaturalist.org/observations/40819303		https://en.wiktionary.org/wiki/refute
		Stenopterus rufus							http://purl.obolibrary.org/obo/RO_0002470	eats			Achillea millefolium				https://www.inaturalist.org/observations/40819304	refute												https://www.inaturalist.org/observations/40819304		https://en.wiktionary.org/wiki/refute
		Stenopterus rufus							http://purl.obolibrary.org/obo/RO_0002470	eats			Achillea millefolium				https://www.inaturalist.org/observations/40819306	refute												https://www.inaturalist.org/observations/40819306		https://en.wiktionary.org/wiki/refute
		Stenopterus rufus							http://purl.obolibrary.org/obo/RO_0002470	eats			Apiaceae				https://www.inaturalist.org/observations/40819307	refute												https://www.inaturalist.org/observations/40819307		https://en.wiktionary.org/wiki/refute
		Formica rufibarbis							http://purl.obolibrary.org/obo/RO_0002470	eats			Pinus sylvestris				https://www.inaturalist.org/observations/41558096	refute												https://www.inaturalist.org/observations/41558096		https://en.wiktionary.org/wiki/refute
		Coccinella septempunctata							http://purl.obolibrary.org/obo/RO_0002470	eats			Betula pendula				https://www.inaturalist.org/observations/41608436	refute												https://www.inaturalist.org/observations/41608436		https://en.wiktionary.org/wiki/refute
		Harmonia axyridis							http://purl.obolibrary.org/obo/RO_0002470	eats			Betula pendula				https://www.inaturalist.org/observations/41608441	refute												https://www.inaturalist.org/observations/41608441		https://en.wiktionary.org/wiki/refute
		Adalia bipunctata							http://purl.obolibrary.org/obo/RO_0002470	eats			Betula pendula				https://www.inaturalist.org/observations/41608445	refute												https://www.inaturalist.org/observations/41608445		https://en.wiktionary.org/wiki/refute
		Adalia bipunctata							http://purl.obolibrary.org/obo/RO_0002470	eats			Betula pendula				https://www.inaturalist.org/observations/41608448	refute												https://www.inaturalist.org/observations/41608448		https://en.wiktionary.org/wiki/refute
		Coccinella septempunctata							http://purl.obolibrary.org/obo/RO_0002470	eats			Betula pendula				https://www.inaturalist.org/observations/41608452	refute												https://www.inaturalist.org/observations/41608452		https://en.wiktionary.org/wiki/refute
		Calvia quatuordecimguttata							http://purl.obolibrary.org/obo/RO_0002470	eats			Betula pendula				https://www.inaturalist.org/observations/41608457	refute												https://www.inaturalist.org/observations/41608457		https://en.wiktionary.org/wiki/refute
		Hippodamia variegata							http://purl.obolibrary.org/obo/RO_0002470	eats			Betula pendula				https://www.inaturalist.org/observations/41608468	refute												https://www.inaturalist.org/observations/41608468		https://en.wiktionary.org/wiki/refute
		Apis mellifera							http://purl.obolibrary.org/obo/RO_0002470	eats			Salix				https://www.inaturalist.org/observations/41681962	refute												https://www.inaturalist.org/observations/41681962		https://en.wiktionary.org/wiki/refute
		Coccinella septempunctata							http://purl.obolibrary.org/obo/RO_0002470	eats			Salix				https://www.inaturalist.org/observations/41681965	refute												https://www.inaturalist.org/observations/41681965		https://en.wiktionary.org/wiki/refute
		Coccinella quinquepunctata							http://purl.obolibrary.org/obo/RO_0002470	eats			Betula pendula				https://www.inaturalist.org/observations/41681966	refute												https://www.inaturalist.org/observations/41681966		https://en.wiktionary.org/wiki/refute
		Harmonia axyridis							http://purl.obolibrary.org/obo/RO_0002470	eats			Betula pendula				https://www.inaturalist.org/observations/41681968	refute												https://www.inaturalist.org/observations/41681968		https://en.wiktionary.org/wiki/refute
		Harmonia axyridis							http://purl.obolibrary.org/obo/RO_0002470	eats			Betula pendula				https://www.inaturalist.org/observations/41681982	refute												https://www.inaturalist.org/observations/41681982		https://en.wiktionary.org/wiki/refute
		Hippodamia variegata							http://purl.obolibrary.org/obo/RO_0002470	eats			Betula pendula				https://www.inaturalist.org/observations/41681986	refute												https://www.inaturalist.org/observations/41681986		https://en.wiktionary.org/wiki/refute
		Harmonia axyridis							http://purl.obolibrary.org/obo/RO_0002470	eats			Betula pendula				https://www.inaturalist.org/observations/41754569	refute												https://www.inaturalist.org/observations/41754569		https://en.wiktionary.org/wiki/refute
		Phytoecia cylindrica							http://purl.obolibrary.org/obo/RO_0002470	eats			Anthriscus sylvestris				https://www.inaturalist.org/observations/41754708	refute												https://www.inaturalist.org/observations/41754708		https://en.wiktionary.org/wiki/refute
		Calvia quatuordecimguttata							http://purl.obolibrary.org/obo/RO_0002470	eats			Betula pendula				https://www.inaturalist.org/observations/41780451	refute												https://www.inaturalist.org/observations/41780451		https://en.wiktionary.org/wiki/refute
		Harmonia quadripunctata							http://purl.obolibrary.org/obo/RO_0002470	eats			Cedrus				https://www.inaturalist.org/observations/42937091	refute												https://www.inaturalist.org/observations/42937091		https://en.wiktionary.org/wiki/refute
		Macaroeris nidicolens							http://purl.obolibrary.org/obo/RO_0002470	eats			Cedrus				https://www.inaturalist.org/observations/42937092	refute												https://www.inaturalist.org/observations/42937092		https://en.wiktionary.org/wiki/refute
		Thyraylia nana							http://purl.obolibrary.org/obo/RO_0002470	eats			Cedrus				https://www.inaturalist.org/observations/42937097	refute												https://www.inaturalist.org/observations/42937097		https://en.wiktionary.org/wiki/refute
		Forficula auricularia							http://purl.obolibrary.org/obo/RO_0002470	eats			Cytisus scoparius				https://www.inaturalist.org/observations/44393278	refute												https://www.inaturalist.org/observations/44393278		https://en.wiktionary.org/wiki/refute
		Forficula auricularia							http://purl.obolibrary.org/obo/RO_0002470	eats			Cytisus scoparius				https://www.inaturalist.org/observations/44393284	refute												https://www.inaturalist.org/observations/44393284		https://en.wiktionary.org/wiki/refute
